title,artist_x,artist_y,hit,collab
Broken,Jake Bugg,Jake Bugg,0.0,0.0
Broken Crown,Mumford & Sons,,0.0,0.0
Brother Mine,Suzanne Vega,,0.0,0.0
Brother Song,Circa Survive,,0.0,0.0
Bruises,Train,Train Featuring Ashley Monroe,1.0,1.0
BU2B2,Rush,,0.0,0.0
Bubblegum Bitch,Marina,,0.0,0.0
Bucket List,Nelly Furtado,,0.0,0.0
Buffalo Soldier,Matisyahu,,0.0,0.0
Bug Hunt,Skrillex,,0.0,0.0
Bullethead,Van Halen,,0.0,0.0
Bulls in the Bronx,Pierce the Veil,,0.0,0.0
Bully,Shinedown,,0.0,0.0
Burn It Down,Linkin Park,Linkin Park,1.0,0.0
Burn That Candle Down,Richie Sambora,,0.0,0.0
By Crooked Steps,Soundgarden,,0.0,0.0
Bye Baby,Nas,,0.0,0.0
C'Mon,Kesha,,0.0,0.0
C'mon Let Me Ride,Skylar Grey,,0.0,0.0
Caliban's Dream,Underworld,,0.0,0.0
California 37,Train,,0.0,0.0
California Daze,Peace,,0.0,0.0
Call Me The Breeze,Beth Orton,,0.0,0.0
Call Me Up,Thomas Rhett,,0.0,0.0
Call My Name,Cheryl Cole,,0.0,0.0
Call You Out,Flyleaf,,0.0,0.0
Cameo Lover,Kimbra,,0.0,0.0
Can You Hear Me (Ayayaya),Wiley,,0.0,0.0
Can You Learn,T.I.,,0.0,0.0
Can You Save Me?,Hoobastank,,0.0,0.0
Can't Get Enough,Lostprophets,Lostprophets,0.0,0.0
Can't Go Back,Little Big Town,,0.0,0.0
Can't Go Wrong,Phillip Phillips,,0.0,0.0
Can't Hold Us,Macklemore & Ryan Lewis,Macklemore & Ryan Lewis Featuring Ray Dalton,1.0,1.0
Can't Live in a World,Cover Drive,,0.0,0.0
Can't Say No,Conor Maynard,,0.0,0.0
Can't Shake You,Gloriana,Gloriana,1.0,0.0
Can't Stop Loving You,Aerosmith,,0.0,0.0
Candles,Beth Orton,,0.0,0.0
Candles,Rufus Wainwright,,0.0,0.0
Candles in the Sun,Miguel,,0.0,0.0
Candy,Robbie Williams,Robbie Williams,0.0,0.0
Capitol,Curren$y,,0.0,0.0
Careless World,Tyga,,0.0,0.0
Carmen,Lana Del Rey,,0.0,0.0
Carnies,Rush,,0.0,0.0
Carolina Rose,Gloriana,,0.0,0.0
Carrie,Shiny Toy Guns,,0.0,0.0
Carried Away,Passion Pit,,0.0,0.0
Carry On,Fun.,Fun.,0.0,0.0
Carry On,Avenged Sevenfold,Avenged Sevenfold,0.0,0.0
Cars Not Leaving,Gabriel Bruce,,0.0,0.0
Castle Of Glass,Linkin Park,,0.0,0.0
Casual Sex,My Darkest Days,,0.0,0.0
Catch My Breath,Kelly Clarkson,Kelly Clarkson,1.0,0.0
Catching Feelings,Justin Bieber,,0.0,0.0
Caught Me Slippin,Starboy Nathan,,0.0,0.0
Cauterize,As I Lay Dying,,0.0,0.0
Caves,Data Romance,,0.0,0.0
Cease Fire,Christina Aguilera,,0.0,0.0
Celebrate,Whitney Houston & Jordin Sparks,Whitney Houston & Jordin Sparks,0.0,0.0
Celebrate,Mika,Mika,0.0,0.0
Celebrate,Kid Rock,Kid Rock,0.0,0.0
Celebration,Game,"Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne",1.0,1.0
Celebrity,Alanis Morissette,,0.0,0.0
Center Of It,Chris August,,0.0,0.0
