title,artist,hit
Don't Ya,Brett Eldredge,1
New Slaves,Kanye West,1
Crazy Kids,Ke$ha Featuring will.i.am Or Juicy J,1
Redneck Crazy,Tyler Farr,1
Black Skinhead,Kanye West,1
We Own It (Fast & Furious),2 Chainz & Wiz Khalifa,1
Crooked Smile,J. Cole Featuring TLC,1
Born To Fly,Danielle Bradbery,1
Round Here,Florida Georgia Line,1
Paper Doll,John Mayer,1
Danny's Song,The Swon Brothers,1
Hey Girl,Billy Currington,1
Ooh La La,Britney Spears,1
What About Love,Austin Mahone,1
Point At You,Justin Moore,1
Right Now,Rihanna Featuring David Guetta,1
Blood On The Leaves,Kanye West,1
Why,Michelle Chamuel,1
Maybe It Was Memphis,Danielle Bradbery,1
It Goes Like This,Thomas Rhett,1
Bubble Butt,"Major Lazer Featuring Bruno Mars, Tyga & Mystic",1
Ain't Worried About Nothin,French Montana,1
One,Usher & Michelle Chamuel,1
I Can't Tell You Why,The Swon Brothers,1
Brave,Sara Bareilles,1
Holy Grail,Jay Z Featuring Justin Timberlake,1
Don't Drop That Thun Thun!,The FiNATTiCZ,1
Take Back The Night,Justin Timberlake,1
Summertime Sadness,Lana Del Rey & Cedric Gervais,1
Wake Me Up!,Avicii,1
The Heart Of Dixie,Danielle Bradbery,1
Tom Ford,JAY-Z,1
Red Nose,Sage The Gemini,1
Royals,Lorde,1
Miss Jackson,Panic! At The Disco Featuring Lolo,1
Acapella,Karmin,1
F*ckwithmeyouknowigotit,Jay Z Featuring Rick Ross,1
I'm Out,Ciara Featuring Nicki Minaj,1
Parking Lot Party,Lee Brice,1
Made In The USA,Demi Lovato,1
Feds Watching,2 Chainz Featuring Pharrell,1
Hail To The King,Avenged Sevenfold,1
Miss Movin' On,Fifth Harmony,1
Beneath Your Beautiful,Labrinth Featuring Emeli Sande,1
Play Hard,David Guetta Featuring Ne-Yo & Akon,1
Sweater Weather,The Neighbourhood,1
Goodbye Town,Lady Antebellum,1
Wildfire,John Mayer,1
HeadBand,B.o.B Featuring 2 Chainz,1
LoveHate Thing,Wale Featuring Sam Dew,1
Aw Naw,Chris Young,1
Type Of Way,Rich Homie Quan,1
Still Into You,Paramore,1
Roar,Katy Perry,1
Applause,Lady Gaga,1
That's My Kind Of Night,Luke Bryan,1
Best Song Ever,One Direction,1
"Hold On, We're Going Home",Drake Featuring Majid Jordan,1
Gas Pedal,Sage The Gemini Featuring IamSu!,1
Everything Has Changed,Taylor Swift Featuring Ed Sheeran,1
Beware,Big Sean Featuring Lil Wayne & Jhene Aiko,1
True Love,P!nk Featuring Lily Allen,1
Southern Girl,Tim McGraw,1
Mine Would Be You,Blake Shelton,1
Turn The Night Up,Enrique Iglesias,1
Love More,Chris Brown Featuring Nicki Minaj,1
Let Her Go,Passenger,1
Easy,Sheryl Crow,1
This Is Gospel,Panic! At The Disco,1
When I See This Bar,Kenny Chesney,1
We Own The Night,The Wanted,1
Pompeii,Bastille,1
Your Side Of The Bed,Little Big Town,1
Bruises,Train Featuring Ashley Monroe,1
Vivir Mi Vida,Marc Anthony,1
Without Me,Fantasia Featuring Kelly Rowland & Missy Elliott,1
Wrecking Ball,Miley Cyrus,1
Berzerk,Eminem,1
Work B**ch!,Britney Spears,1
The Fox,Ylvis,1
Dark Horse,Katy Perry Featuring Juicy J,1
Lolly,Maejor Ali Featuring Juicy J & Justin Bieber,1
Give It 2 U,Robin Thicke Featuring Kendrick Lamar,1
Gorilla,Bruno Mars,1
Wu-Tang Forever,Drake,1
TKO,Justin Timberlake,1
Slow Down,Selena Gomez,1
Replay,Zendaya,1
A Light That Never Comes,Linkin Park X Steve Aoki,1
We Were Us,Keith Urban And Miranda Lambert,1
Sunny And 75,Joe Nichols,1
Waiting For Superman,Daughtry,1
I Luv This Sh*t,August Alsina Featuring Trinidad James,1
Monster,Imagine Dragons,1
Honest,Future,1
Show Me,Kid Ink Featuring Chris Brown,1
Drunk Last Night,Eli Young Band,1
Propuesta Indecente,Romeo Santos,1
You Make Me,Avicii,1
Animals,Martin Garrix,1
Wasting All These Tears,Cassadee Pope,1
Best I Ever Had,Gavin DeGraw,1
American Girl,Bonnie McKee,1
Outta My Head,Craig Campbell,1
Bounce It,Juicy J Featuring Wale & Trey Songz,1
Carolina,Parmalee,1
Could It Be,Charlie Worsham,1
This Is What It Feels Like,Armin van Buuren Featuring Trevor Guthrie,1
Darte Un Beso,Prince Royce,1
Burn,Ellie Goulding,1
White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,1
Rap God,Eminem,1
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",1
My Hitta,YG Featuring Jeezy & Rich Homie Quan,1
All That Matters,Justin Bieber,1
Chinese Food,Alison Gold,1
Survival,Eminem,1
All Me,Drake Featuring 2 Chainz & Big Sean,1
Timber,Pitbull Featuring Ke$ha,1
Marry Me,Jason Derulo,1
It Won't Stop,Sevyn Streeter Featuring Chris Brown,1
Stay The Night,Zedd Featuring Hayley Williams,1
Whatever She's Got,David Nail,1
Let Me Go,Avril Lavigne Featuring Chad Kroeger,1
Adore You,Miley Cyrus,1
Tennis Court,Lorde,1
Days Of Gold,Jake Owen,1
Team,Lorde,1
Stay,Florida Georgia Line,1
Pound Cake / Paris Morton Music 2,Drake Featuring JAY-Z,1
V.S.O.P.,K. Michelle,1
Closer,Tegan And Sara,1
Friday Night,Eric Paslay,1
See You Tonight,Scotty McCreery,1
Sweet Annie,Zac Brown Band,1
All Kinds Of Kinds,Miranda Lambert,1
Radio,Darius Rucker,1
Don't Let Me Be Lonely,The Band Perry,1
Chillin' It,Cole Swindell,1
Collard Greens,ScHoolboy Q Featuring Kendrick Lamar,1
All Of Me,John Legend,1
The Monster,Eminem Featuring Rihanna,1
Story Of My Life,One Direction,1
Unconditionally,Katy Perry,1
Do What U Want,Lady Gaga Featuring R. Kelly,1
Livin' On A Prayer,Bon Jovi,1
Say Something,A Great Big World & Christina Aguilera,1
What Now,Rihanna,1
Hallelujah,Matthew Schuler,1
All Bad,Justin Bieber,1
Dope,Lady Gaga,1
The Outsiders,Eric Church,1
Drink A Beer,Luke Bryan,1
Compass,Lady Antebellum,1
Rough Water,Travie McCoy Featuring Jason Mraz,1
The Language,Drake,1
Right There,Ariana Grande Featuring Big Sean,1
Best Day Of My Life,American Authors,1
Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,1
Up All Night,Jon Pardi,1
Drunk In Love,Beyonce Featuring Jay Z,1
The Christmas Song (Merry Christmas To You),Nat King Cole,1
Who You Love,John Mayer Featuring Katy Perry,1
Rockin' Around The Christmas Tree,Brenda Lee,1
I Have Nothing,Tessanne Chin,1
Let It Go,Idina Menzel,1
When She Says Baby,Jason Aldean,1
Bottoms Up,Brantley Gilbert,1
Let It Go,Demi Lovato,1
Hey Brother,Avicii,1
Little Drummer Boy,Pentatonix,1
XO,Beyonce,1
Love Me Again,John Newman,1
Let It Be,Tessanne Chin & Adam Levine,1
Underneath The Tree,Kelly Clarkson,1
Up Down (Do This All Day),T-Pain Featuring B.o.B,1
Alone Together,Fall Out Boy,1
Do I Wanna Know?,Arctic Monkeys,1
Helluva Life,Frankie Ballard,1
Bound 2,Kanye West,1
Talk Dirty,Jason Derulo Featuring 2 Chainz,1
Perfume,Britney Spears,1
