"icicles","goes","blank","blank","rock","roll","","","know","honey","bunny","funny","thing","","thots","twerk","goodfellas","money","dance","money","team","","confident","","","confident","","","","","confident","tell","","walks","room","said","first","time","","yeah","yeah","think","might","lied","feels","good","damn","","yeah","yeah","know","addicted","","yeah","yeah","something","like","addict","","twisted","","yeah","yeah","still","gotta","still","gotta","yeah","still","gotta","alright","still","gotta","yeah","alright","","","","yeah","","","","alright","","","","yeah","","","still","gotta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"girl","know","feel","really","feel","since","away","","baby","chance","take","call","take","call","dialed","today","","girl","","wanna","talk","cool","thinking","","long","hoping","pick","phone","girl","know","wanna","lose","love","","baby","","baby","","girl","","secret","place","","","cause","really","wanna","alone","baby","nobody","else","gotta","know","just","meet","later","","tell","","cause","girl","heart's","breaking","","tell","","cause","girl","heart's","breaking","","girl","","standing","standing","standing","rain","","baby","chance","stay","right","yeah","yeah","never","","away","girl","","wanna","talk","cool","thinking","","long","hoping","pick","phone","girl","know","wanna","lose","love","","baby","","baby","","baby","","girl","","secret","place","","","cause","really","wanna","alone","baby","nobody","else","gotta","know","just","meet","later","","tell","","cause","girl","heart's","breaking","","tell","","cause","girl","heart's","breaking","","really","tryna","","hope","understand","despite","","still","wanna","","know","easy","","talk","everyone","around","just","personal","just","want","know","still","love","though","seasons","","change","sometimes","love","goes","sunshine","rain","umbrella","calling","name","know","wanna","lose","cause","still","believe","still","believe","love","still","believe","","hope","believe","","","believe","","","cause","","speak","really","sleep","wanna","talk","world","hands","give","","wanna","know","feeling","","feeling","wanna","know","feeling","","","taught","careful","heart","heart","taught","careful","heart","heart","heart","","","","","","","","","","","","","","","","","","","",""
"yeah","yeah","yeah","happy","birthday","hold","tight","yeah","hold","tight","","hold","tight","lips","","","lips","","","lips","","","","hold","tight","hold","tight","yeah","hold","tight","hold","tight","","hold","tight","lips","","","","","head","best","ever","mention","thing","swollen","","","trance","something","like","ziploc","","lock","want","wrapped","around","","like","wrist","watch","","hard","walking","","stuck","like","krazy","glue","","hold","tight","yeah","hold","tight","","hold","tight","lips","","","lips","","","lips","","","","hold","tight","hold","tight","yeah","hold","tight","hold","tight","","hold","tight","lips","","","","tossing","turning","","place","rather","instead","know","strength","missing","like","adrenaline","","","gridlock","great","spot","turned","kind","loving","just","stop","hard","walking","","stuck","like","krazy","glue","","","hold","tight","yeah","hold","tight","","hold","tight","lips","","","lips","","","lips","","","","hold","tight","hold","tight","yeah","hold","tight","hold","tight","","hold","tight","lips","","","","baby","holding","back","faces","make","","rockstar","making","hard","visualise","monster","cause","","shot","arrow","","need","right","near","","maintain","mind","turn","away","","maintain","mind","turn","away","","hold","tight","yeah","hold","tight","","hold","tight","lips","","","lips","","","lips","","","","hold","tight","hold","tight","yeah","hold","tight","hold","tight","","hold","tight","lips","","","","","","","","","","","","","","","","","",""
"","misty","","mountain","keep","careful","watch","brothers","souls","","filled","fire","smoke","keep","watching","durin's","sons","","fire","burn","together","watch","flames","climb","high","night","calling","father","","stand","watch","flames","burn","auburn","mountain","side","","tonight","","together","raise","glass","wine","last","time","calling","father","","prepare","watch","flames","burn","auburn","mountain","side","desolation","comes","upon","","","","fire","inside","mountain","","fire","burning","trees","","fire","hollowing","souls","","fire","blood","breeze","hope","remember","","people","fall","surely","confined","mountain","halls","","close","flame","calling","father","","hold","fast","watch","flames","burn","auburn","mountain","side","desolation","comes","upon","","","","fire","inside","mountain","","fire","burning","trees","","fire","hollowing","souls","","fire","blood","breeze","hope","remember","night","burning","cover","eyes","dark","returns","brothers","","sky's","falling","crashed","lonely","town","shadow","upon","ground","hear","people","screaming","","","fire","inside","mountain","","fire","burning","trees","","fire","hollowing","souls","","fire","blood","breeze","","fire","","know","","city","burning","","fire","feel","heat","upon","skin","","fire","","fire","burn","auburn","mountain","side","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"take","away","pain","","smile","face","baby","baby","make","better","","","better","","baby","baby","build","doorway","","hand","keys","yeah","","know","always","welcome","never","leave","","","fancy","things","","","yeah","","away","hideaway","living","american","dream","know","never","gonna","easy","know","hurt","","","","take","away","pain","","smile","face","baby","baby","make","better","","","better","","baby","baby","build","love","river","wide","never","runs","","yeah","time","","smiling","","satisfied","","flaws","past","lovers","made","","though","wanna","make","right","just","read","mind","know","never","gonna","easy","know","hurt","","","","take","away","pain","","smile","face","baby","baby","make","better","","","better","","baby","baby","yeah","want","need","know","hurt","know","know","sometimes","hard","","need","","take","away","pain","","smile","face","baby","baby","make","better","","","better","","baby","baby","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lately","thinking","thinking","bout","know","hard","knew","yeah","drinking","take","pain","away","wish","give","deserve","cause","nothing","","ever","ever","replace","nothing","","make","feel","like","know","there’s","","","relate","know","won’t","find","love","that’s","true","there’s","nothing","like","","there’s","nothing","like","together","storm","there’s","nothing","like","","there’s","nothing","like","together","gave","everything","baby","everything","give","girl","push","away","yeah","lost","confusion","like","illusion","know","used","making","","past","","last","","guess","meant","tell","worth","perfect","baby","just","want","","there’s","nothing","like","","there’s","nothing","like","together","storm","there’s","nothing","like","","there’s","nothing","like","together","there’s","nothing","like","","there’s","nothing","like","together","storm","there’s","nothing","like","","there’s","nothing","like","together","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","i'ma","","","","","","","","i'ma","","","","","","woah","door","wall","coffee","table","girl","","ready","i'ma","","","","","","woah","","","","stove","countertop","dining","room","table","ready","i'ma","","","","","woah","","","","stairs","bedroom","light","candles","prepare","i'ma","","","","","","","","","plane","train","automobile","matter","i'ma","","","","","","","","","don’t","make","sense","","i'ma","take","babe","","","","","","","","","show","much","love","form","","i'ma","","","","","","","","","","cause","deserve","best","nothing","best","give","best","ever","i'ma","","","","","","","","i'ma","","roof","baby","balcony","baby","care","baby","sees","girl","i'ma","","","","","","","","","club","parking","","care","anywhere","pick","spot","whatever","i'ma","","yeah","","","","","yeah","","","","cause","forensics","body","club","","tell","","walk","","body","ain't","touched","right","","seems","","","treating","like","stepchild","","","","i'ma","","floor","shut","whole","game","hear","cheering","babe","spelling","name","babe","","wanna","give","love","dope","","bedroom","","make","drug","babe","make","sense","","","baby","","","","gonna","","","","","","gonna","show","much","love","form","","yeah","","","","","","","","cause","deserve","best","nothing","best","give","best","ever","gonna"
"","","","","","","","","gonna","","","","","cause","deserve","best","nothing","best","give","best","ever","i'ma","","","i'ma","","girl","i'ma","","","yeah","i'ma","","","","","","","","","i'ma","","","yeah","tapping","i'ma","","","","","","","","","","","","","","","","","i'ma","","","i'ma","","","","","","","","","","woah","","","","","","","","","","","","","","i'ma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"first","acknowledge","trust","broken","successful","recovery","pray","","night","bless","second","chance","never","thought","","","face","learn","","trial","error","tryna","make","right","make","right","make","right","make","right","time","right","woah","missing","good","intentions","missing","distance","hope","know","caused","problem","know","left","livid","pushed","","away","learned","don’t","","","cause","don’t","wanna","","","saying","nothing","gets","nowhere","fast","i'mma","hold","back","inside","well","","back","around","","nothing","else","really","matters","hope","feel","first","acknowledge","trust","broken","successful","recovery","pray","","night","bless","second","chance","never","thought","","","face","learn","","trial","error","tryna","make","right","make","right","make","right","make","right","time","right","woah","going","","emotions","tryna","find","reason","ended","","nothing","life","perfect","changing","like","seasons","used","","going","sleep","alone","night","don’t","wanna","close","eyes","wanna","give","give","holding","back","time","well","","back","around","","nothing","around","matters","hope","feel","first","acknowledge","trust","broken","successful","recovery","pray","","night","bless","second","chance","never","thought","","","face","learn","","trial","error","tryna","make","right","make","right","make","right","make","right","time","right","woah","know","i'mma","right","know","i'mma","right","know","i'mma","right","know","i'mma","right","i'mma","right","know","i'mma","right","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"come","know","happened","","nights","like","don’t","happen","anymore","need","know","lose","control","slow","lonely","overseas","memories","wish","","heart","people","come","","baby","don’t","know","fell","eyes","roller","coaster","roller","coaster","spinning","around","around","baby","roller","coaster","roller","coaster","minute","next","falling","difficult","just","happy","flights","nights","like","never","ever","missed","reason","happened","yeah","help","feel","like","lonely","overseas","memories","wish","","heart","people","come","","baby","don’t","know","fell","eyes","roller","coaster","roller","coaster","spinning","around","around","baby","roller","coaster","roller","coaster","minute","next","falling","bounce","lonely","overseas","memories","wish","","heart","people","come","","baby","don’t","know","fell","eyes","roller","coaster","roller","coaster","spinning","around","around","baby","roller","coaster","roller","coaster","minute","next","falling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cause","i’ll","","raincoat","yellow","raincoat","baby","it’s","keeping","","","raincoat","yellow","raincoat","know","exactly","wind","blows","","goes","away","sinful","stormy","","it’s","it’s","yeah","it’s","it’s","yeah","pours","water","sprinkles","chest","jacket","slow","yeah","jacket","slow","yeah","whenever","ever","ever","want","faze","whenever","ever","want","thing","make","cause","fame","money","girls","drive","crazy","said","said","thinking","maybe","just","","cause","i’ll","","raincoat","yellow","raincoat","baby","it’s","keeping","","","raincoat","yellow","raincoat","know","exactly","look","around","","well","nothing","","never","change","yeah","well","gotta","stay","","rest","work","i’ll","show","i’ll","fine","fine","wind","blows","","goes","away","sinful","stormy","","it’s","it’s","yeah","it’s","it’s","yeah","pours","water","sprinkles","chest","jacket","slow","yeah","jacket","slow","yeah","whenever","ever","ever","want","faze","whenever","ever","want","thing","make","cause","fame","money","girls","drive","crazy","said","said","thinking","maybe","just","","cause","i’ll","","raincoat","yellow","raincoat","baby","it’s","keeping","","","raincoat","yellow","raincoat","know","exactly","just","","just","","just","","cause","i’ll","","raincoat","yellow","raincoat","baby","it’s","keeping","","","raincoat","yellow","raincoat","know","exactly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"things","good","yesterday","devil","took","memory","fell","death","today","hope","heaven","resting","place","heard","doctors","","chest","pain","could've","medicine","","lying","","either","","","rest","father","told","","fault","know","face","","although","grandma","used","","used","sing","darling","hold","arms","","last","night","","inside","little","","look","eyes","","comes","wrapped","light","life","love","","open","lips","mine","slowly","","shut","designed","together","","body","next","mine","hearts","beat","","","alight","afire","love","","love","things","good","yesterday","devil","took","breath","away","","left","pain","black","suit","black","","standing","rain","","family","","stapled","together","strangers","friend","came","mind","paint","","","years","","remember","father","told","","fault","know","face","","although","grandma","used","","used","sing","darling","hold","arms","","last","night","","inside","little","","look","eyes","","comes","wrapped","light","life","love","","open","lips","mine","slowly","","shut","designed","together","","body","next","mine","hearts","beat","","","alight","afire","love","","love","father","family","rise","seats","sing","hallelujah","brother","family","rise","seats","sing","hallelujah","brother","family","rise","seats","sing","hallelujah","brother","sisters","father","family","rise","seats","sing","hallelujah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
